iter	Passed	Remaining
960	7018	284
961	7024	277
962	7030	270
963	7037	262
964	7045	255
965	7053	248
966	7059	240
967	7066	233
968	7073	226
969	7079	218
970	7086	211
971	7093	204
972	7099	196
973	7105	189
974	7113	182
975	7119	175
976	7125	167
977	7132	160
978	7140	153
979	7148	145
980	7155	138
981	7162	131
982	7170	124
983	7177	116
984	7184	109
985	7191	102
986	7196	94
987	7203	87
988	7210	80
989	7216	72
990	7223	65
991	7230	58
992	7237	51
993	7244	43
994	7252	36
995	7257	29
996	7264	21
997	7272	14
998	7278	7
999	7285	0
